Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
63,Christine Karron,Christine Karron is creating illustrations (christinekarron),https://graphtreon.com/creator/christinekarron,https://www.patreon.com/christinekarron,https://www.instagram.com/chkarron,https://www.facebook.com/chkarron/,0,0,283,,,559,18-Mar
64,Akuma Press,Akuma Press is creating a monthly pin club! (akumapress),https://graphtreon.com/creator/akumapress,https://www.patreon.com/akumapress,https://www.instagram.com/akumapress,0,0,0,282,,,343,18-Oct
65,Anthony Scroggins,Anthony Scroggins is creating Scifi Artwork (ShimmeringSword),https://graphtreon.com/creator/ShimmeringSword,https://www.patreon.com/ShimmeringSword,0,0,https://twitter.com/ShimmeringSword,0,282,$672 per month,$2.38 per month,1768,14-Nov
66,Piper Thibodeau,Piper Thibodeau is creating Daily Paintings (piperdraws),https://graphtreon.com/creator/piperdraws,https://www.patreon.com/piperdraws,0,0,https://twitter.com/Piper_Thibodeau,0,280,,,1724,15-Jan
67,Thomas Romain and his sons,Thomas Romain and his sons is creating designs and illustrations  (thomasromain),https://graphtreon.com/creator/thomasromain,https://www.patreon.com/thomasromain,https://www.instagram.com/thomasintokyo,0,https://twitter.com/Thomasintokyo,0,280,,,899,17-Apr
68,rk  post,rk  post is creating Exclusive tokens (art cards) (rkpost),https://graphtreon.com/creator/rkpost,https://www.patreon.com/rkpost,0,0,https://twitter.com/postrk,https://www.youtube.com/postrk1,275,,,1141,16-Aug
69,Mateusz Urbanowicz,"Mateusz Urbanowicz is creating Animation, Illustration, Watercolours. Also, background art. (mateuszurbanowicz)",https://graphtreon.com/creator/mateuszurbanowicz,https://www.patreon.com/mateuszurbanowicz,https://www.instagram.com/mateusz_urbanowicz,0,https://twitter.com/gommatt,https://www.youtube.com/channel/UC8BjDleMFNvnikjAI6GdBPg,275,$874 per month,$3.18 per month,804,17-Jul
70,Jesse Hamm,Jesse Hamm is creating Art and Writing Essays About Drawing Comics (jessehamm),https://graphtreon.com/creator/jessehamm,https://www.patreon.com/jessehamm,0,0,https://twitter.com/Hamm_Tips,0,274,$603 per month,$2.20 per month,1293,16-Mar
71,Eliza Gauger,Eliza Gauger is creating Problem Glyphs (problemglyphs),https://graphtreon.com/creator/problemglyphs,https://www.patreon.com/problemglyphs,0,0,https://twitter.com/3liza,0,267,,,2035,14-Mar
72,Flameon Miniatures,Flameon Miniatures is creating tutorials about painting miniatures (FlameonMiniatures),https://graphtreon.com/creator/FlameonMiniatures,https://www.patreon.com/FlameonMiniatures,https://www.instagram.com/flameonminiatures,0,https://twitter.com/FlameMiniatures,0,249,,,937,17-Mar
73,Aaron McKee,Aaron McKee is creating horror narrations and 3D artwork. (thevolgun),https://graphtreon.com/creator/thevolgun,https://www.patreon.com/thevolgun,0,0,https://twitter.com/zenithstrife,https://www.youtube.com/user/thevolgun,244,,,675,17-Nov
74,Nivanh Chanthara,Nivanh Chanthara is creating Concept-Arts and Illustrations. (nivanhchanthara),https://graphtreon.com/creator/nivanhchanthara,https://www.patreon.com/nivanhchanthara,0,0,https://twitter.com/NivanhChanthara,0,242,,,668,17-Dec
