Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
145,BWusagi,"BWusagi is creating Original Characters, illustration and concept  (bwusagi)",https://graphtreon.com/creator/bwusagi,133,,,1378,Dec-15
146,Elentori,Elentori is creating Illustrations and Tutorials (elentori),https://graphtreon.com/creator/elentori,133,,,1044,Nov-16
147,Stephie Clark,Stephie Clark is creating Soft pastel art (12_stephieclark),https://graphtreon.com/creator/12_stephieclark,132,,,277,Dec-18
148,Whalephat,"Whalephat is creating Monthly Enamel Pin Club, Illustrations and Art (Whalephat)",https://graphtreon.com/creator/Whalephat,132,,,493,May-18
149,NoFlutter,NoFlutter is creating Concept Art and Pinup Design Illustrations  (noflutter),https://graphtreon.com/creator/noflutter,132,$550 per month,$4.16 per month,1432,Oct-15
150,Marrus,"Marrus is creating Fantastical, metaphorical fine art for the smart! (marrusart)",https://graphtreon.com/creator/marrusart,131,,,1452,Oct-15
151,Amie Howard Art,Amie Howard Art is creating Coloured Pencil Tutorials and Techniques (AmieHowardArt),https://graphtreon.com/creator/AmieHowardArt,131,"$1,160 per month",$8.86 per month,1444,Oct-15
152,Satoshi Matsuura,Satoshi Matsuura is creating creature and character design. (satoshi_matsuura),https://graphtreon.com/creator/satoshi_matsuura,130,$258 per month,$1.99 per month,773,Aug-17
153,Dalton Stark,Dalton Stark is creating doodles and stickers (daltondoodles),https://graphtreon.com/creator/daltondoodles,129,$953 per month,$7.38 per month,377,Sep-18
154,Yencat,Yencat is creating Merchandise & Illustration (Yencat),https://graphtreon.com/creator/Yencat,128,,,213,Mar-19
155,Heather R. Hitchman,"Heather R. Hitchman is creating A world called ""Terratoff"" (terratoff)",https://graphtreon.com/creator/terratoff,127,"$1,015 per month",$7.99 per month,839,Jun-17
156,Amy Davis Roth,Amy Davis Roth is creating Multimedia art projects inspired by science and nature. (SurlyAmy),https://graphtreon.com/creator/SurlyAmy,127,,,1654,Mar-15
157,Alarm Eighteen,Alarm Eighteen is creating Books & Artwork. (alarmeighteen),https://graphtreon.com/creator/alarmeighteen,126,,,253,Jan-19
158,Aaron Miller,Aaron Miller is creating Collector Tokens (aaronmiller),https://graphtreon.com/creator/aaronmiller,125,"$1,146 per creation",$9.16 per creation,965,Feb-17
159,Krista Leigh Smith,Krista Leigh Smith is creating Art and Characters (kristaleighsmith),https://graphtreon.com/creator/kristaleighsmith,125,,,439,Jul-18
160,Lopoddity,Lopoddity is creating Illustrations and Doodles (lopoddity),https://graphtreon.com/creator/lopoddity,124,$820 per month,$6.62 per month,447,Jul-18
161,Sylessae,Sylessae is creating digital artwork and livestreaming! (sylessae),https://graphtreon.com/creator/sylessae,122,,,1012,Dec-16
162,Borodante,Borodante is creating digital paintings (borodante),https://graphtreon.com/creator/borodante,122,$327 per month,$2.68 per month,1333,Feb-16
163,Baerthe,Baerthe is creating MTG Tokens (Baerthe),https://graphtreon.com/creator/Baerthe,121,,,430,Jul-18
164,Olga Zakharova,Olga Zakharova is creating stock illustrations (successfulstocker),https://graphtreon.com/creator/successfulstocker,121,$373 per month,$3.09 per month,246,Jan-19
165,Matthew Meyer,Matthew Meyer is creating yokai (osarusan),https://graphtreon.com/creator/osarusan,120,$747 per month,$6.22 per month,1504,Aug-15
166,Rose Lemberg,Rose Lemberg is creating BIRDVERSE (rblemberg),https://graphtreon.com/creator/rblemberg,120,,,1728,Jan-15
167,Hannah515,Hannah515 is creating Illustrations (hannah515),https://graphtreon.com/creator/hannah515,119,$146 per month,$1.23 per month,502,May-18
168,James Perrett,James Perrett is creating D&D items and weapons! (jamesperrett),https://graphtreon.com/creator/jamesperrett,119,$322 per month,$2.70 per month,250,Jan-19
169,Spielebude,Spielebude is creating Battle Reports & Painting Tutorials (spielebude),https://graphtreon.com/creator/spielebude,118,,,880,May-17
170,Sybile Art,"Sybile Art is creating Magical Paintings, Drawings & Pins (sybileart)",https://graphtreon.com/creator/sybileart,118,,,979,Jan-17
171,Journey to Wellness,Journey to Wellness is creating Cartoons & Illustrations about Mental Health & Wellbeing (journeytowellness),https://graphtreon.com/creator/journeytowellness,117,$291 per month,$2.49 per month,429,Jul-18
172,JelArts,JelArts is creating Illustrations (jelarts),https://graphtreon.com/creator/jelarts,117,"$1,214 per month",$10.38 per month,177,Apr-19
173,Effy Bird Wild,Effy Bird Wild is creating a temple dedicated to your inner artist! (effywild),https://graphtreon.com/creator/effywild,116,,,720,Oct-17
174,Dead Marsh Spectre,Dead Marsh Spectre is creating Middle-earth Painting guides (middleearthpaintingguides),https://graphtreon.com/creator/middleearthpaintingguides,116,,,386,Sep-18
175,apofiss,"apofiss is creating digital paintings, wallpapers and more! (apofiss)",https://graphtreon.com/creator/apofiss,115,,,1395,Dec-15
